Date,Title,Description,Acceptance Criteria,Success Notes,Impact,Self Rating,Rating Justification
2024-11-08,Artifactory Sandbox - Phase 3: Base Installation,"As a system administrator, I need to perform the base installation of Artifactory 7.35.2 on RHEL 8.10 to establish the core application framework. ## Technical Requirements ### Repository Setup - Repository URL: https://releases.jfrog.io/artifactory/artifactory-pro-rpms/artifactory-pro-rpms.repo - Target Location: /etc/yum.repos.d/ - Package Name: jfrog-artifactory-pro-7.35.2 ### Directory Structure - Main Installation: /opt/jfrog/artifactory/ - Variable Data: /var/opt/jfrog/artifactory/ - Filestore: /opt/jfrog/data/filestore/ ### Required Symlinks - /var/opt/jfrog/artifactory/logs -> /var/opt/jfrog/artifactory/log - /var/opt/jfrog/artifactory/data -> /opt/jfrog/data/filestore ### Permissions - Ownership: artifactory:artifactory - Directory Permissions: 750 - Symlink Permissions: 777 ## Success Verification Steps 1. Package Installation: ```bash rpm -qa | grep jfrog-artifactory-pro ``` Expected: jfrog-artifactory-pro-7.35.2 2. Directory Structure: ```bash ls -la /opt/jfrog/artifactory/ ls -la /var/opt/jfrog/artifactory/ ``` Expected: All directories present with correct permissions 3. Symlink Verification: ```bash ls -la /var/opt/jfrog/artifactory/logs ls -la /var/opt/jfrog/artifactory/data ``` Expected: Proper symlinks with correct targets",### 1. Repository Configuration- JFrog repository definition is downloaded and configured - Repository setup is verified - Package sources are accessible ### 2. Package Installation - Version 7.35.2 is specifically installed - Installation paths are verified - All required files are present ### 3. Storage Configuration - Filestore directory created at /opt/jfrog/data/filestore/ - All required symlinks created and verified - Proper permissions and ownership set,Completed work item ID 126696 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2024-12-06,Jason (CDS 8 Essentials - Foundational Learning),,,Completed work item ID 126754 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2025-03-25,UDeploy Training - Jason,,,Completed work item ID 132193 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2024-11-04,Fix Invalid Directory Structures in Artifactory npm-cache Backups,"As a System Administrator, I need to resolve Artifactory backup errors caused by invalid npm-cache directory structures. When Artifactory attempts its weekly backup of the npm-remote-cache repository, it fails because certain package paths exist as files instead of directories. This prevents the backup process from creating the necessary directory structure. The system needs to be corrected by properly handling these invalid file structures while preserving metadata for future investigation.","File paths that should be directories (e.g., '@types/yauzl', 'extract-zip') are backed up with their metadata files and replaced with appropriate directory structures to allow successful completion of Artifactory backups Original files and their metadata are preserved with '_backup' suffix to maintain audit trail and enable root cause analysis",Completed work item ID 134113 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2024-10-30,Artifactory Sandbox - Phase 1: System Preparation,"As a system administrator, I need to prepare the RHEL 8.10 system for Artifactory 7.35.2 installation by creating required users, directories, and system configurations. ## Technical Requirements ### User/Group Settings - Group Name: artifactory - Username: artifactory - Home Directory: /var/opt/jfrog/artifactory - Shell: /bin/bash - System Account: Yes ### Directory Structure ``` /opt/jfrog/artifactory/ /var/opt/jfrog/artifactory/ ├── data/ ├── etc/ └── logs/ ``` - Owner: artifactory:artifactory - Permissions: 750 (drwxr-x---) ### System Limits - nofile: 32000 - nproc: 16384 - vm.max_map_count: 262144 ### System Limits- nofile: 32000 - nproc: 16384 - vm.max_map_count: 262144 ## Success Verification Steps 1. User/Group Verification: ```bash id artifactory ``` Expected: uid=<number>(artifactory) gid=<number>(artifactory) groups=<number>(artifactory) 2. Directory Permissions: ```bash ls -la /var/opt/jfrog/artifactory/ ``` Expected: drwxr-x--- artifactory artifactory for all directories 3. System Limits: ```bash sudo -u artifactory ulimit -n sudo -u artifactory ulimit -u sysctl vm.max_map_count ``` Expected: - nofile: 32000 - nproc: 16384 - vm.max_map_count: 262144",### 1. User and Group Creation- Dedicated artifactory system group created - Dedicated artifactory system user created - User/group creation verified ### 2. Directory Structure Setup - Main directories created and properly owned - Correct permissions applied - Directory access verified ### 3. System Limits Configuration - File handle limits configured - Process limits set - Memory map settings adjusted - Limits verified and persistent,Completed work item ID 135699 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2024-11-01,Artifactory Sandbox - Phase 2: SQL Server Prerequisites Setup,"As a system administrator installing Artifactory 7.35.2 on RHEL 8.10, I need to set up all SQL Server prerequisites to ensure proper database connectivity and JDBC driver configuration for the application. Technical Requirements SQL Server Client Tools Repository URL: https://packages.microsoft.com/config/rhel/8/prod.repo Required Package: mssql-tools Additional Package: unixODBC-devel PATH Addition: /opt/mssql-tools/bin JDBC Driver Version: 12.2.0.jre8 Download URL: https://github.com/microsoft/mssql-jdbc/releases/download/v12.2.0/mssql-jdbc-12.2.0.jre8.jar Installation Path: /opt/jfrog/artifactory/app/artifactory/tomcat/lib/jf_mssql-jdbc.jar Required Permissions: 640 Required Ownership: artifactory:artifactory",1. SQL Server Client Tools Installation Microsoft SQL Server repository is properly registered in RHEL 8.10 mssql-tools package is successfully installed sqlcmd is accessible through PATH Database connection can be verified using sqlcmd 2. JDBC Driver Configuration JDBC driver version 12.2.0.jre8 is downloaded and installed Driver is placed in correct location with proper ownership and permissions All necessary symlinks are created and verified,Completed work item ID 135708 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2024-11-08,Artifactory Sandbox - Phase 4: Database Configuration,"As a system administrator, I need to configure Artifactory to connect securely to our MS SQL Server database to ensure proper data persistence. ## Technical Requirements ### Connection Parameters - Server: artifactory-sandbox.sbx.np.someserver.com - Database: ArtifactoryDB - Username: artifactory_user - Connection Properties: sendStringParametersAsUnicode=false ### Configuration Files - Primary: /var/opt/jfrog/artifactory/etc/system.yaml - Permissions: 640 - Ownership: artifactory:artifactory ## Success Verification Steps 1. Database Connectivity: ```bash sqlcmd -S artifactory-sandbox.sbx.np.someserver.com -U artifactory_user -P 'password' -d ArtifactoryDB -Q &quot;SELECT @@version&quot; ``` Expected: Version information returned 2. Schema Permissions: ```sql SELECT HAS_PERMS_BY_NAME(null, 'DATABASE', 'CREATE TABLE'); ``` Expected: 1 (true",### 1. Database Connection Setup- Connection details properly configured - Database connectivity verified - Schema creation permissions confirmed - JDBC connection validated ### 2. Security Configuration - Database credentials securely stored - Connection string properly formatted - SSL/TLS configuration (if required),Completed work item ID 135757 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2024-11-08,Artifactory Sandbox - Phase 5: System Configuration,"As a system administrator, I need to configure the core system settings for Artifactory to ensure proper operation and logging. ## Technical Requirements ### system.yaml Configuration - Location: /var/opt/jfrog/artifactory/etc/system.yaml - Format: YAML - Permissions: 640 - Owner: artifactory:artifactory ### Required Settings - Database configuration - Node identification - Logging levels - Memory settings ## Success Verification Steps 1. Configuration Syntax: ```bash python3 -c 'import yaml; yaml.safe_load(open(&quot;/var/opt/jfrog/artifactory/etc/system.yaml&quot;))' ``` Expected: No errors 2. File Permissions: ```bash stat -c '%a %U:%G' /var/opt/jfrog/artifactory/etc/system.yaml ``` Expected: 640 artifactory:artifactory",### 1. Basic Configuration- system.yaml properly configured - Database settings verified - Node settings established - Logging configured ### 2. Environment Setup - JAVA_HOME set correctly - ARTIFACTORY_HOME configured - Additional environment variables set,Completed work item ID 135821 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2025-01-23,Automated Jenkins Credential Audit Report,"As a Jenkins administrator, I need an automated system to audit credential usage across all Jenkins jobs so that I can maintain security compliance and identify unused credentials that should be removed.","1. Create a Groovy script that: - Lists all credentials stored in Jenkins - Identifies active vs unused credentials - Shows last usage date for each credential - Lists jobs using each credential - Provides credential type summary 2. Implement as system Groovy script: - Execute within Jenkins' JVM - Use only core Jenkins classes - Write output to both console and file - Store report in Jenkins userContent directory 3. Report Format: - Clear section separation for active/unused credentials - Include credential IDs, types, descriptions - Show username for appropriate credential types - Use ASCII characters for formatting 4. Report Access: - Generate clickable URL to access report - Maintain report in userContent directory - Keep historical reports for reference 5. Job Configuration: - Set up as freestyle job - Configure weekly execution schedule - Implement appropriate error handling - Include build rotation policy",Completed work item ID 156277 successfully,High,2,"Successfully completed user story as assigned, meeting acceptance criteria"
2025-01-06,Jenkins Build Usage Analysis: Derive a list of proposed Jenkins jobs to be removed,"Build a tool that analyzes Jenkins build history to identify jobs with no recent builds, focusing on those inactive for a year or longer. This will help reduce technical debt and simplify the upcoming platform upgrade.","Script analyzes build history from /var/lib/jenkins/jobs and generates a report showing total builds per job, identifying jobs with zero builds Report includes timespan data to show how long jobs have been inactive, with focus on jobs inactive >1 year Output formats data to show: job name, total builds, last build date (if any), making it easy to identify removal candidates",Completed work item ID 158192 successfully,Medium,2,"Successfully completed user story as assigned, meeting acceptance criteria"
